"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"1815","","singlestim-multislider","71","509539","0.0-10.0-0.0","","20381","1476727190858","1","41","59","","","0","12","9","7","5","0.6","0.6","0.8","1"
"3725","","singlestim-multislider","72","513585","0.0-10.0-26.0","","20381","1476727190858","1","41","59","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2615","","singlestim-multislider","73","516520","0.0-10.0-29.0","","20381","1476727190858","1","45","55","","","0","12","9","7","5","0.8","0.8","1","1"
"2548","","singlestim-multislider","74","519380","0.0-10.0-38.0","","20381","1476727190858","1","42","58","","","1","12","9","7","5","NA","NA","NA","1"
"2127","","singlestim-multislider","75","521826","0.0-10.0-7.0","","20381","1476727190858","1","70","30","","","0","12","9","7","5","0.6","0.6","1","1"
"40003","","singlestim-multislider","76","562137","0.0-10.0-23.0","","20381","1476727190858","1","44","56","","","0","12","9","7","5","0.8","0.6","1","1"
"6065","","singlestim-multislider","77","568516","0.0-10.0-32.0","","20381","1476727190858","1","44","56","","","1","12","9","7","5","NA","NA","NA","1"
"3059","","singlestim-multislider","78","571886","0.0-10.0-27.0","","20381","1476727190858","1","58","42","","","0","12","9","7","5","0.8","0.8","0.8","1"
"3665","","singlestim-multislider","79","575864","0.0-10.0-11.0","","20381","1476727190858","1","45","55","","","0","12","9","7","5","0.6","0.8","0.8","1"
"6338","","singlestim-multislider","80","582510","0.0-10.0-24.0","","20381","1476727190858","1","45","55","","","0","12","9","7","5","0.8","0.8","0.8","1"
"31966","","singlestim-multislider","81","614796","0.0-10.0-15.0","","20381","1476727190858","1","47","53","","","0","12","9","7","5","0.6","0.8","1","1"
"2831","","singlestim-multislider","82","617942","0.0-10.0-22.0","","20381","1476727190858","1","46","55","","","0","12","9","7","5","0.8","0.6","1","1"
"2311","","singlestim-multislider","83","620571","0.0-10.0-36.0","","20381","1476727190858","1","57","43","","","1","12","9","7","5","NA","NA","NA","1"
"2493","","singlestim-multislider","84","623369","0.0-10.0-21.0","","20381","1476727190858","1","59","41","","","0","12","9","7","5","0.8","0.6","1","1"
"15216","","singlestim-multislider","85","638891","0.0-10.0-4.0","","20381","1476727190858","1","43","57","","","0","12","9","7","5","0.6","0.6","1","1"
"4510","","singlestim-multislider","86","643718","0.0-10.0-40.0","","20381","1476727190858","1","58","42","","","1","12","9","7","5","NA","NA","NA","1"
"2606","","singlestim-multislider","87","646640","0.0-10.0-2.0","","20381","1476727190858","1","46","54","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2455","","singlestim-multislider","88","649403","0.0-10.0-1.0","","20381","1476727190858","1","56","44","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2811","","singlestim-multislider","89","652534","0.0-10.0-35.0","","20381","1476727190858","1","55","45","","","1","12","9","7","5","NA","NA","NA","1"
"2746","","singlestim-multislider","90","655591","0.0-10.0-5.0","","20381","1476727190858","1","43","57","","","0","12","9","7","5","0.6","0.6","1","1"
"2829","","singlestim-multislider","91","658730","0.0-10.0-19.0","","20381","1476727190858","1","40","60","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2301","","singlestim-multislider","92","661352","0.0-10.0-6.0","","20381","1476727190858","1","61","39","","","0","12","9","7","5","0.6","0.6","1","1"
"16802","32","text","93","678462","0.0-11.0","","20381","1476727190858","","","","","","","","","","","","","",""
